Name,Address,Postalcode,X-COORDINATES,Y-COORDINATES
Strathmore Green,62  Strathmore Avenue 142062 Singapore,142062,25563.6014,30752.2647
SummerHill,50/52/54/56  Hume Avenue 596229 Singapore,596229,20526.9573,37815.1764
Sun Plaza (Residential),30 Sembawang Drive  757713 Singapore,757713,26457.9936,47763.0551
Sunglade,1 Serangoon Avenue 2 556130 Singapore,556130,32267.9063,36711.4483
Sunshine Mansions,289 Joo Chiat Place 427970 Singapore,427970,36288.1877,33019.6114
Sunshine Plaza (Residential),91 Bencoolen Street  187652 Singapore,187652,29989.2625,31404.6555
Tan Chong Tower (Residential),15 Queen Street 188537 Singapore,188537,30155.6169,31152.9
Tangerine Grove,3 Paya Lebar Crescent 534239 Singapore,534239,33259.6031,36930.0843
Tanglin Regency,381/383/385 Tanglin Road 247965 Singapore,247965,26072.3181,30493.1936
Tanglin Residences,23 Saint Martin's Drive 258004 Singapore,258004,26898.4276,32070.3684
Tanglin View,150-156 Prince Charles Crescent 159012 Singapore,159012,26336.0196,30469.4093
Teck Ghee Fire Post,463 Ang Mo Kio Avenue 10 560463 Singapore,560463,30689.7281,38775.6868
Teck Ghee Heartlands,415A  Ang Mo Kio Avenue 8 561415 Singapore,561415,30354.3942,38490.8388
Teck Ghee Vista,303 Ang Mo Kio Avenue 1 560303 Singapore,560303,29328.3315,38742.6444
Ten @ Suffolk,10 Suffolk Road 307786 Singapore,307786,29239.1982,32986.2032
Terrace View,362 Terrace View 424758 Singapore,424758,35805.5555,32065.3797
The Acacias,21 Sommerville Road 358246 Singapore,358246,31962.4259,36298.431
The Ambra,97 Lorong H Telok Kurau 426117 Singapore,426117,36829.2863,33242.7935
The Ansley,33 Mandalay Road 308214 Singapore,308214,29726.8243,33946.4761
The Asteria,9 Martia Road 424796 Singapore,424796,36653.5966,32171.5593
The Bale,8 Lorong H Telok Kurau 425991 Singapore,425991,36130.1954,33040.2912
The Beacon Edge,250 Tembeling Road 423728 Singapore,423728,35972.7662,32161.9746
The Belleforte,4/6 Ah Hood Road 329973 Singapore,329973,29299.0494,34359.5041
The Berth by The Cove,228 Ocean Drive 098616 Singapore,98616,29446.8922,25849.538
The Botanic on Lloyd,33 Lloyd Road 239106 Singapore,239106,28689.6551,30994.0191
The Callista,22 Mar Thoma Road 328702 Singapore,328702,31283.8293,34415.4216
The Cathay Residences,30 Mount Sophia 228464 Singapore,228464,29599.8645,31325.4482
The Champagne,380/382 Changi Road 419832 Singapore,419832,36600.8123,33404.4112
The Chuan,31 Lorong Chuan 556820 Singapore,556820,31019.6232,36889.2524
The Coris,264-266 Compassvale Link 543265 Singapore,543265,34972.0693,40449.9428
The Cornwall,2 Cornwall Gardens 269632 Singapore,269632,24361.7592,32710.3147
The Cosmopolitan,200 Kim Seng Road 239471 Singapore,239471,27899.5723,30906.5064
The Cotz,171 Telok Kurau Road  423824 Singapore,423824,36629.4237,32849.7719
The Dew,30/32/34 Bukit Batok Street 21 659636 Singapore,659636,19386.7032,36536.3329
The Edge on Cairnhill,130 Cairnhill Road 229717 Singapore,229717,28424.203,32349.3866
The Esta,31 Amber Gardens  439966 Singapore,439966,35390.9906,31568.1986
The Fernhill,1 Fernhill Road 259049 Singapore,259049,27181.669,32959.8505
The Foliage,370 Pasir Panjang Road 118707 Singapore,118707,21433.9192,30365.071
The Gardens at Bishan,1/3/5/7/9 Sin Ming Walk 575576 Singapore,575576,27790.7392,38477.089
The Glacier,258-260 Joo Chiat Place 427940 Singapore,427940,36221.1822,32954.8083
The Grandhill,39 Pasir Panjang Hill 118860 Singapore,118860,22608.0074,29341.2979
The Heliconia,30 Jalan Daud 419572 Singapore,419572,36411.475,34287.0152
The Horizon,1 Holt Road 249441 Singapore,249441,27269.891,30766.0727
The Infiniti,39C West Coast Road 127714 Singapore,127714,19327.167,33475.9258
The Interlace,200 Depot Road 109694 Singapore,109694,24699.4704,29406.6573
